,street_policy,avenue_policy,num_streets,num_avenues,street_block_length,street_crosswalk_length,avenue_block_length,avenue_crosswalk_length,green_time,red_time,traffic_light_grid_random_seed,walker_speed,walker_starting_corner
0,89.89999999999618,89.89999999999618,5,6,200,10,200,10,10,15,52,60,sw
1,66.7999999999975,66.7999999999975,5,6,200,10,200,10,15,10,18,60,sw
2,81.39999999999667,81.39999999999667,5,6,200,10,200,10,10,15,68,60,sw
3,80.09999999999674,80.09999999999674,5,6,200,10,200,10,15,10,75,60,sw
4,66.7999999999975,73.29999999999713,5,6,200,10,200,10,10,15,59,60,sw
5,69.766666666664,87.9499999999963,5,6,200,10,200,10,15,10,94,60,sw
6,76.86666666666359,76.86666666666359,5,6,200,10,200,10,10,15,69,60,sw
7,76.78333333333026,76.78333333333026,5,6,200,10,200,10,15,10,92,60,sw
8,84.03333333332985,84.03333333332985,5,6,200,10,200,10,10,15,46,60,sw
9,69.68333333333067,69.68333333333067,5,6,200,10,200,10,15,10,35,60,sw
10,75.34999999999701,75.34999999999701,5,6,200,10,200,10,25,30,20,60,sw
11,81.8666666666633,81.8666666666633,5,6,200,10,200,10,30,25,36,60,sw
12,73.34999999999712,73.34999999999712,5,6,200,10,200,10,25,30,49,60,sw
13,104.43333333332869,104.43333333332869,5,6,200,10,200,10,30,25,8,60,sw
14,71.14999999999725,71.14999999999725,5,6,200,10,200,10,25,30,63,60,sw
15,119.13333333332785,119.13333333332785,5,6,200,10,200,10,30,25,43,60,sw
16,68.53333333333073,68.53333333333073,5,6,200,10,200,10,25,30,21,60,sw
17,91.59999999999609,91.59999999999609,5,6,200,10,200,10,30,25,15,60,sw
18,132.93333333333126,132.93333333333126,5,6,200,10,200,10,25,30,82,60,sw
19,66.7999999999975,66.7999999999975,5,6,200,10,200,10,30,25,84,60,sw
20,66.7999999999975,66.7999999999975,5,6,200,10,200,10,50,55,14,60,sw
21,66.7999999999975,66.7999999999975,5,6,200,10,200,10,55,50,56,60,sw
22,76.09999999999697,76.09999999999697,5,6,200,10,200,10,50,55,86,60,sw
23,110.749999999995,110.749999999995,5,6,200,10,200,10,55,50,88,60,sw
24,121.21666666666107,121.21666666666107,5,6,200,10,200,10,50,55,3,60,sw
25,66.7999999999975,66.7999999999975,5,6,200,10,200,10,55,50,91,60,sw
26,108.79999999999511,108.79999999999511,5,6,200,10,200,10,50,55,43,60,sw
27,127.64999999999404,114.76666666666144,5,6,200,10,200,10,55,50,21,60,sw
28,115.81666666666138,115.81666666666138,5,6,200,10,200,10,50,55,15,60,sw
29,76.2333333333303,76.2333333333303,5,6,200,10,200,10,55,50,82,60,sw
30,75.96666666666364,75.499999999997,5,6,200,10,200,30,10,15,84,60,sw
31,101.63333333332885,101.63333333332885,5,6,200,10,200,30,15,10,14,60,sw
32,81.56666666666332,81.56666666666332,5,6,200,10,200,30,10,15,56,60,sw
